Timestamps,Temperature
0.5,22.81
1.0,22.81
1.5,22.81
2.0,22.81
2.5,22.81
3.0,22.81
3.5,22.87
4.0,22.81
4.5,22.87
5.0,22.87
5.5,22.87
6.0,22.87
6.5,22.87
7.0,22.87
7.5,22.87
8.0,22.87
8.5,22.87
9.0,22.87
9.5,22.87
10.0,23.06
22.5,23.25
23.0,23.19
23.5,23.12
24.0,23.12
24.5,23.06
25.0,23.06
25.5,23.0
26.0,22.94
26.5,22.94
27.0,22.87
27.5,22.81
28.0,22.81
28.5,22.75
29.0,22.69
29.5,22.69
30.0,22.62
30.5,22.62
31.0,22.56
31.5,22.81
42.0,23.25
42.5,23.19
43.0,23.06
43.5,23.0
44.0,23.0
44.5,22.94
45.0,22.87
45.5,22.87
46.0,22.81
46.5,22.81
47.0,22.75
47.5,22.75
48.0,22.69
48.5,22.69
49.0,22.69
49.5,22.62
50.0,22.62
50.5,22.62
51.0,22.56
51.5,22.56
52.0,22.56
52.5,22.56
53.0,22.56
53.5,22.5
54.0,22.5
54.5,22.5
55.0,22.5
55.5,22.5
56.0,22.5
56.5,22.44
57.0,22.44
57.5,22.44
58.0,22.44
58.5,22.44
59.0,22.44
59.5,22.44
60.0,22.44
60.5,22.44
61.0,22.37
61.5,22.37
62.0,22.37
62.5,22.37
63.0,22.37
63.5,22.37
64.0,22.37
64.5,22.44
65.0,22.37
65.5,22.37
66.0,22.37
66.5,22.37
67.0,22.44
67.5,22.56
69.0,27.37
69.5,28.44
70.0,29.25
70.5,29.75
71.0,30.19
71.5,30.69
72.0,31.19
72.5,31.56
73.0,31.87
73.5,32.13
74.0,32.31
74.5,32.44
75.0,32.13
75.5,31.81
76.0,31.56
76.5,31.37
77.0,31.25
77.5,31.06
78.0,30.94
78.5,30.81
79.0,30.69
79.5,30.56
80.0,30.5
80.5,30.37
81.0,30.31
81.5,30.19
82.0,30.12
82.5,30.0
83.0,29.94
83.5,29.87
84.0,29.75
84.5,29.69
85.0,29.62
85.5,29.56
86.0,29.5
86.5,29.37
87.0,29.31
87.5,29.25
88.0,29.12
88.5,29.0
89.0,28.87
89.5,28.75
90.0,28.69
90.5,28.56
91.0,28.5
91.5,28.37
92.0,28.31
92.5,28.25
