windvelo (m/s),winddeg (deg),windveloX,windveloY
1.16,192.4,-1.1329398428676345,-0.2490929795137935
1.01,211.6,-0.8602442034844783,-0.5292257650297797
0.8,203.8,-0.7319677342798598,-0.3228362370819122
0.77,184.2,-0.7679321474628328,-0.056393411788276206
0.84,200.1,-0.7888391717595556,-0.28867414345191733
0.33,159.8,-0.3097026975106535,0.11394840566951642
0.36,163.5,-0.34517510455254946,0.10224552409341213
0.29,39.75,0.22296413130130324,0.18543731057436957
0.18,240.5,-0.0886362408186241,-0.1566640252691819
0.29,170.0,-0.2855942483735403,0.05035797152340977
0.55,166.9,-0.5356867820034784,0.12465821909027033
0.2,2.89,0.19974563442132037,0.010083725979232218
0.35,152.2,-0.30960334132527934,0.16323532411896194
0.19,271.0,0.003315957223083795,-0.18997106207971434
0.86,212.6,-0.7245090614261469,-0.4633428751059022
0.71,195.2,-0.6851617110753412,-0.18615431683501382
0.62,178.5,-0.6197875414848455,0.01622970795088152
0.3,174.9,-0.29881231962323085,0.02666828905993243
0.38,190.3,-0.3738763144147458,-0.06794484174421295
0.52,180.2,-0.519996831982051,-0.0018151387359161642
0.27,224.6,-0.1922470324175691,-0.18958132430869382
0.31,193.6,-0.3013079101793493,-0.07289405506180284
0.34,231.7,-0.21072487081034777,-0.26682396598124813
0.23,233.5,-0.1368092409528086,-0.18488707794195994
0.26,172.5,-0.2577756639571907,0.033936809977213406
0.34,220.3,-0.25930723209653406,-0.21990852503355626
0.63,198.5,-0.5974439027799057,-0.1999019335352079
1.2,213.8,-0.9971813631291938,-0.6675547386003657
1.02,195.5,-0.9829030622727956,-0.27258314359982194
0.99,195.0,-0.9562665680261776,-0.2562308546514956
0.89,185.8,-0.8854438308576216,-0.08994010449282246
1.2,175.1,-1.1956143554290877,0.1025003077648411
0.93,186.1,-0.9247342880438804,-0.09882558634269681
0.81,210.9,-0.6950325736361521,-0.41596841416711783
1.09,192.9,-1.0624897016684318,-0.2433426264519371
1.25,202.3,-1.1565121479822276,-0.47432019941125647
0.71,175.7,-0.7080014448028321,0.05323489604669291
0.66,192.3,-0.644850079127274,-0.14060005494148473
0.74,158.5,-0.6885090003066981,0.2712109077759799
1.24,166.5,-1.2057387012931189,0.2894722511813228
0.67,147.8,-0.566949421305468,0.35702710496738904
0.85,220.2,-0.649226624339446,-0.5486390345653578
1.33,227.1,-0.9053587557153611,-0.9742820553872136
0.95,182.2,-0.9492997705900902,-0.036468418633143665
1.14,201.1,-1.0635670297010573,-0.4103963612568584
1.41,200.3,-1.3224233978027755,-0.4891792687182908
1.31,205.9,-1.1784206904312862,-0.5722103427616901
0.95,197.0,-0.9084895181648837,-0.2777531194866
0.98,197.2,-0.9361727948798968,-0.2897938890431656
1.08,137.9,-0.8013339082536657,0.7240607484755032
1.01,155.9,-0.9219625190053732,0.4124137649851989
0.99,182.7,-0.9889009762123503,-0.04663538620254585
1.09,162.6,-1.0401219580827419,0.32595446355913477
1.86,172.2,-1.8427909832768852,0.2524309647278063
1.9,179.8,-1.8999884245498018,0.00663223768892491
0.58,113.8,-0.23405627188438613,0.5306766073528983
0.49,197.8,-0.46654340244364795,-0.14979069943192183
1.18,198.8,-1.1170461269365215,-0.38027352037200346
1.19,215.0,-0.9747909327039002,-0.6825559592577449
1.4,202.0,-1.2980573963935023,-0.5244492307822768
1.11,201.4,-1.0334719556074066,-0.405013230614758
1.0,158.9,-0.9329535348254892,0.3599968081200511
1.61,155.0,-1.4591555371290066,0.6804154014025262
2.01,155.5,-1.8290221544618515,0.8335334177390407
2.53,157.4,-2.3357218492958416,0.9722671663293033
2.13,168.3,-2.085744586624361,0.43193693910937125
2.2,157.2,-2.028098933494701,0.852534290194627
1.73,152.6,-1.5359206162859742,0.7961456276760636
0.52,145.8,-0.43008189862277224,0.2922833564831079
0.59,173.2,-0.5858496497828568,0.06985834130083572
0.75,213.0,-0.629002925959068,-0.40847927626127034
0.81,188.6,-0.8008926686480748,-0.12112362818940464
0.96,164.0,-0.9228112281007861,0.26461186158431926
0.78,180.4,-0.779980991950208,-0.0054453830324099235
0.72,160.1,-0.6770074514475015,0.24507327615339627
0.7,157.6,-0.6471822235286191,0.266749263445192
0.95,159.8,-0.8915683716215781,0.32803328904860785
0.81,145.5,-0.6675422127838327,0.4587890519091146
0.8,152.1,-0.7070125040709548,0.3743438514084587
0.98,132.2,-0.6582861775365303,0.7259885043610153
1.22,147.4,-1.0277919243487201,0.6573003577083726
0.79,186.9,-0.784278300124262,-0.09490810267937115
0.71,188.7,-0.7018306596341652,-0.10739518237552548
0.74,144.7,-0.6039418166593183,0.4276146420437942
0.88,161.4,-0.8340362008084355,0.2806841921823015
1.14,148.0,-0.9667748296183255,0.6041079612258535
0.59,127.1,-0.3558927127697167,0.4705745180068848
0.44,91.2,-0.009214664748677048,0.43990350072893203
0.36,5.16,0.3585410745829966,0.032377427891511816
0.47,79.8,0.08322982795020419,0.46257193574554367
0.67,191.4,-0.6567816869965537,-0.1324304180540145
0.38,234.8,-0.21904428014452149,-0.3105150613673488
0.19,255.9,-0.04628685223934428,-0.18427568290410187
0.23,260.1,-0.03954369306426422,-0.226575145015598
0.37,208.9,-0.32392187499000663,-0.1788144818043509
0.43,185.9,-0.4277222113603849,-0.04420079081851618
0.62,176.2,-0.6186369103410709,0.041089818248000363
0.66,228.4,-0.43819130035047943,-0.4935467397290311
0.64,198.9,-0.605494629649629,-0.20730714764681576
0.9,202.5,-0.8314915792601582,-0.3444150891285807
0.6,226.8,-0.41072826355721315,-0.4373811764528469
1.04,168.6,-1.0194820216065907,0.2055636339942914
0.58,175.7,-0.5783673774445671,0.04348766155927026
